YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2021,5,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,1,1,135,2,137,136
2021,5,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,3,3,5064,899,5963,5514
2021,5,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,3,3,2285,7,2292,2289
2021,5,21629,KD,Western Global,KD,Western Global,2,2,424,3,427,426
2021,5,21634,KH,Aloha Air Cargo,KH,Aloha Air Cargo,2,2,527,63,590,559
2021,5,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2,2,206,2,208,207
2021,5,20151,M6,Amerijet International,M6,Amerijet International,2,2,827,0,827,827
2021,5,20398,MQ,Envoy Air,MQ,Envoy Air,3,3,11200,4247,15447,13324
2021,5,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2,2,894,11,905,900
2021,5,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,3,3,8741,304,9045,8893
2021,5,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2,2,4512,0,4512,4512
2021,5,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,3,3,13257,1680,14937,14097
2021,5,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,1,1,87,1,88,88
2021,5,21402,PM,"Prescott Support Company, Inc.",PM,"Prescott Support Company, Inc.",1,4,16,22,38,27
2021,5,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,3,3,244,1,245,245
2021,5,20427,PT,Piedmont Airlines,PT,Piedmont Airlines,2,2,5290,3835,9125,7208
2021,5,19687,QX,Horizon Air,QX,Horizon Air,2,2,3012,616,3628,3320
2021,5,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,1,4,15,29,44,30
2021,5,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,2,2,1494,270,1764,1629
2021,5,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3,59986,8747,68733,64360
2021,5,20195,WI,Sky Lease Cargo,WI,Sky Lease Cargo,2,2,267,35,302,285
2021,5,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3,54191,1832,56023,55107
2021,5,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,2,2,1086,2,1088,1087
2021,5,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,1,4,208,5,213,211
2021,5,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2,2,3087,10,3097,3092
2021,5,20452,YX,Republic Airline,YX,Republic Airline,3,3,5326,258,5584,5455
2021,5,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,2,2,1193,25,1218,1206
2021,6,21352,0WQ,Avjet Corporation,0WQ,Avjet Corporation,1,1,139,0,139,139
2021,6,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,276,0,276,276
2021,6,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",1,4,39,29,68,54
2021,6,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",1,1,601,0,601,601
2021,6,21712,2HQ,Elite Airways LLC,2HQ,Elite Airways LLC,2,2,89,13,102,96
2021,6,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,1,4,77,0,77,77
2021,6,21854,34Q,"Polaris Aviation Solutions, LLC",34Q,"Polaris Aviation Solutions, LLC",1,4,27,15,42,35
2021,6,21875,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,68,1,69,69
2021,6,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,1,113,0,113,113
2021,6,21979,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",1,1,212,251,463,338
