activity_period,operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,cargo_type,cargo_aircraft_type,cargo_weight_lbs,cargo_metric_tons
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,45423,20.6038728
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,106869,48.475778399999996
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,55427,25.1416872
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,50278,22.8061008
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,74183,33.649408799999996
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,347558,157.65230880000001
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,47025,21.33054
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,7234,3.2813423999999998
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,29762,13.5000432
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,37291,16.915197600000003
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,6707,3.0422952000000003
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,67831,30.768141600000003
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,1127590,511.474824
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,353098,160.16525280000002
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,464002,210.47130719999996
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,38810,17.604216
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,423069,191.9040984
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,100001,45.3604536
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,317156,143.8619616
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,11548,5.238172799999999
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,221652,100.5413472
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,153748,69.7400928
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,3713,1.6842168000000002
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,295930,134.233848
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,3367,1.5272712
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,28705,13.020588
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Cargo,Passenger,34206,15.5158416
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Cargo,Passenger,21031,9.539661599999999
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Mail,Passenger,48979,22.2168744
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,99222,45.007099200000006
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Express,Passenger,140,0.06350399999999999
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Cargo,Passenger,16838,7.637716800000001
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Cargo,Passenger,820116,372.0046176
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Mail,Passenger,95590,43.359624
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Cargo,Passenger,347156,157.4699616
200507,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Mail,Passenger,190201,86.27517359999999
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Cargo,Passenger,1745713,791.8554168
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Mail,Passenger,394829,179.0944344
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Cargo,Passenger,2610403,1184.0788009999999
200507,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Mail,Passenger,867692,393.5850912
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Cargo,Freighter,46448,21.0688128
200507,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Cargo,Freighter,13271,6.019725599999999
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Freighter,377597,171.27799919999998
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Cargo,Passenger,646310,293.166216
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Freighter,392733,178.1436888
200507,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Cargo,Passenger,672216,304.9171776
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Deplaned,Cargo,Freighter,1159652,526.0181472
200507,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Enplaned,Cargo,Freighter,1535268,696.3975647999999
200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,11,0.0049896
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Cargo,Passenger,1021909,463.53792239999996
200507,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Mail,Passenger,15096,6.847545599999999
200507,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Cargo,Passenger,776831,352.3705416
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Deplaned,Cargo,Freighter,1029715,467.078724
200507,Cargolux Airlines,CV,Cargolux Airlines,CV,International,Europe,Enplaned,Cargo,Freighter,786402,356.7119472
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Freighter,920693,417.6263448
200507,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Cargo,Passenger,241333,109.46864879999998
