AIRPORT CODES
KATL
KDFW
KORD
KCLT
KLAX
KDEN
KSFO
KMSP
KPHX
KIAH
KMIA
KDTW
KEWR
KSLC
KPHL
KLGA
KBOS
KMCO
KSEA
KJFK
KLAS
KDCA
KTPA
KIAD
KSAN
KFLL
KAUS
KRDU
KMSY
KRSW
KPDX
KSNA
KSAT
KBWI
KPBI
KMCI
KCLE
KSTL
KPIT
KJAX
KSMF
KHNL
KCVG
KIND
KBDL
KSJC
KMEM
KCMH
KMKE
KCHS
